# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1433
#@/user_id	Amber_76Game_Windows
a 	啊	c=5 d=1.33539 t=1433
mo ren 	默認	c=8 d=2.4514 t=1433
mo shi 	模式	c=1 d=0.0629761 t=1433
mo yu 	摸魚	c=1 d=0.0152985 t=1433
mou ge 	某個	c=1 d=0.106459 t=1433
mu 	唔	c=1 d=0.22091 t=1433
mu lu 	目錄	c=2 d=0.378471 t=1433
mu qian 	目前	c=3 d=0.852144 t=1433
na 	那	c=2 d=0.852813 t=1433
na dao 	拿到	c=1 d=0.1764 t=1433
na ge 	那個	c=2 d=0.909595 t=1433
na men 	哪門	c=1 d=0.767206 t=1433
na shi 	那是	c=1 d=0.704688 t=1433
na ye you 	那也有	c=1 d=0.810584 t=1433
nan dao 	難道	c=1 d=0.937067 t=1433
ne 	呢	c=1 d=0.126186 t=1433
nei 	內	c=1 d=0.400517 t=1433
nei rong 	內容	c=2 d=0.529935 t=1433
neng 	能	c=2 d=0.135428 t=1433
neng bu neng 	能不能	c=1 d=0.154124 t=1433
ni 	你	c=5 d=1.73533 t=1433
niu pi 	牛皮	c=1 d=0.121846 t=1433
nong 	弄	c=0 d=0.0509156 t=1433
nong hao le 	弄好了	c=1 d=0.511709 t=1433
o 	哦	c=2 d=0.0270496 t=1433
pai cha 	排查	c=1 d=0.0219278 t=1433
pao 	泡	c=1 d=0.0448245 t=1433
pao chu 	拋出	c=1 d=0.591555 t=1433
pei se 	配色	c=2 d=0.985112 t=1433
pei zhi 	配置	c=4 d=2.51917 t=1433
pi fu 	皮膚	c=1 d=0.50409 t=1433
pin 	品	c=4 d=1.19744 t=1433
pin ji 	品級	c=2 d=0.459995 t=1433
pin zhi 	品質	c=1 d=0.386741 t=1433
ping jia 	評價	c=1 d=0.178173 t=1433
pu tong 	普通	c=2 d=0.135193 t=1433
qi 	器	c=1 d=0.0871609 t=1433
qi ta 	其他	c=1 d=0.318224 t=1433
qi zhong 	其中	c=1 d=0.227638 t=1433
qian 	錢	c=1 d=0.0464212 t=1433
qian que 	欠缺	c=1 d=0.522046 t=1433
qiang hua 	強化	c=1 d=0.219808 t=1433
qie huan 	切換	c=1 d=0.0699482 t=1433
qing 	清	c=2 d=1.42399 t=1433
qing kao 	情拷	c=1 d=0.726149 t=1433
qing shuang 	清爽	c=1 d=1 t=1433
quan bu 	全部	c=1 d=0.272532 t=1433
quan huang 	拳皇	c=1 d=0.802519 t=1433
quan ju 	全局	c=1 d=0.410656 t=1433
que 	卻	c=2 d=0.0749572 t=1433
que 	缺	c=1 d=0.0405589 t=1433
que shao 	缺少	c=2 d=0.248617 t=1433
que shi 	確實	c=1 d=0.0223708 t=1433
qun zhu 	羣主	c=1 d=0.941765 t=1433
ren 	人	c=1 d=0.0424257 t=1433
ren he 	任何	c=2 d=0.326696 t=1433
ren wu 	任務	c=2 d=0.0538046 t=1433
ri chang 	日常	c=2 d=0.0756347 t=1433
ri li 	日曆	c=1 d=0.0510474 t=1433
rime 	Rime	c=2 d=0.97531 t=1433
rong qi 	容器	c=2 d=0.111439 t=1433
ru 	如	c=1 d=0.50409 t=1433
ru guo 	如果	c=2 d=0.650608 t=1433
ru xia 	如下	c=1 d=0.33454 t=1433
sa 	撒	c=1 d=0.209088 t=1433
sa di ke 	薩迪克	c=0 d=0.0193013 t=1433
sa di ke jian 	薩迪克件	c=1 d=0.19398 t=1433
san ci 	三次	c=1 d=0.26054 t=1433
san ge 	三個	c=3 d=1.28506 t=1433
san xing 	三星	c=1 d=0.177284 t=1433
san zhong 	三種	c=1 d=0.0642483 t=1433
sao dang 	掃蕩	c=1 d=0.116484 t=1433
se hao 	色號	c=1 d=0.0105145 t=1433
se qing 	色情	c=1 d=0.0497871 t=1433
shang le 	上了	c=1 d=0.131336 t=1433
shang wei 	尚未	c=1 d=0.782705 t=1433
she me 	什麼	c=1 d=0.965605 t=1433
she tuan 	社團	c=2 d=0.935345 t=1433
she zhi 	設置	c=2 d=0.10383 t=1433
shen ke 	深刻	c=1 d=0.960789 t=1433
shen ti 	身體	c=1 d=0.0132999 t=1433
sheng 	昇	c=4 d=1.19147 t=1433
sheng 	聲	c=0 d=0.0116484 t=1433
sheng cheng 	生成	c=4 d=1.75543 t=1433
sheng ji 	升級	c=2 d=0.614038 t=1433
sheng ming 	聲明	c=3 d=1.68278 t=1433
shi 	是	c=25 d=3.2858 t=1433
shi 	時	c=2 d=0.238409 t=1433
shi bu shi 	是不是	c=2 d=0.07033 t=1433
shi hou 	時候	c=13 d=2.08648 t=1433
shi jian 	事件	c=1 d=0.0724398 t=1433
shi jian 	時間	c=3 d=0.614565 t=1433
shi li 	實例	c=2 d=0.779056 t=1433
shi xian 	實現	c=2 d=0.847894 t=1433
shi yong 	使用	c=4 d=0.794534 t=1433
shou ce 	手冊	c=1 d=0.847894 t=1433
shou dong 	手動	c=2 d=0.380468 t=1433
shu ju 	數據	c=5 d=1.74595 t=1433
shu ju ku 	數據庫	c=2 d=1.62564 t=1433
shu lian 	熟練	c=1 d=0.694197 t=1433
shu lian du 	熟練度	c=1 d=0.704688 t=1433
shu liang 	數量	c=1 d=0.265803 t=1433
shu ru fa 	輸入法	c=4 d=2.73746 t=1433
shu xing 	屬性	c=3 d=0.555211 t=1433
shu zu 	數組	c=1 d=0.524663 t=1433
shua 	刷	c=4 d=0.238115 t=1433
shua wan 	刷完	c=1 d=0.118837 t=1433
shua wan 	耍玩	c=1 d=0.118245 t=1433
shuang yin hao 	雙引號	c=1 d=0.348192 t=1433
shun shou 	順手	c=1 d=0.697676 t=1433
shuo 	說	c=1 d=0.0258615 t=1433
shuo le 	說了	c=1 d=0.139756 t=1433
shuo ming 	說明	c=2 d=0.184099 t=1433
sou gou 	搜狗	c=1 d=0.15259 t=1433
sui 	隨	c=1 d=0.307279 t=1433
sui bian 	隨便	c=1 d=0.0963276 t=1433
sui pian 	碎片	c=2 d=0.26982 t=1433
sui ran 	雖然	c=1 d=0.108609 t=1433
sui shou 	隨手	c=1 d=0.120633 t=1433
suo xu 	所需	c=1 d=0.136695 t=1433
ta 	她	c=2 d=1.11814 t=1433
ta 	它	c=1 d=0.136014 t=1433
tai 	太	c=1 d=0.0495388 t=1433
tai duo 	太多	c=1 d=0.0154523 t=1433
te ding 	特定	c=2 d=0.585763 t=1433
te xiao 	特效	c=2 d=0.852881 t=1433
ti li 	體力	c=3 d=0.840131 t=1433
ti sheng 	提升	c=1 d=0.71177 t=1433
ti shi 	提示	c=3 d=0.121238 t=1433
tian chong 	填充	c=1 d=0.532592 t=1433
